2023-04-11T04:50:24.594Z | user.controller.findAll | INFO | Retrieveing the user details 
2023-04-11T04:50:32.065Z | program.controller.findAll | INFO | retrieving all the program 
2023-04-11T04:51:11.306Z | auth.controller.login | INFO | login successfull 
2023-04-11T04:51:13.037Z | connection.controller.findallwithdetails | INFO | retrieving the connections list 
2023-04-11T04:51:14.176Z | configuration.controller.getConnectionForm | INFO | retrieving configuration Form View 
2023-04-11T04:51:25.454Z | user.controller.findAll | INFO | Retrieveing the user details 
2023-04-11T04:51:25.483Z | configuration.controller.getObjectNewForm | INFO | retrieving ObjectForm Form View 
2023-04-11T04:51:28.453Z | program.controller.findAll | INFO | retrieving all the program 
2023-04-11T04:51:28.456Z | configuration.controller.getObjectNewForm | INFO | retrieving ObjectForm Form View 
2023-04-11T04:51:30.061Z | project.controller.findAllById | INFO | retrieving the project by id 
2023-04-11T04:51:30.069Z | configuration.controller.getObjectNewForm | INFO | retrieving ObjectForm Form View 
2023-04-11T09:42:04.425Z | auth.controller.login | INFO | login successfull 
2023-04-11T09:43:07.721Z | task.controller.findALLTasksForPipelineID | INFO | Retrieving the task for pipeline ID  
2023-04-11T09:43:07.801Z | configuration.controller.getTaskForm | INFO | retrieving task Form View 
2023-04-11T09:48:11.427Z | preview.controller.mysqlPreviewTable | ERROR | error occurred 
2023-04-11T09:48:55.809Z | task.controller.findALLTasksForPipelineID | INFO | Retrieving the task for pipeline ID  
2023-04-11T09:48:55.940Z | configuration.controller.getTaskForm | INFO | retrieving task Form View 
2023-04-11T09:49:11.578Z | preview.controller.mysqlPreviewTable | ERROR | error occurred 
2023-04-11T09:50:29.695Z | connection.controller.findallwithdetails | INFO | retrieving the connections list 
2023-04-11T09:50:29.981Z | configuration.controller.getConnectionForm | INFO | retrieving configuration Form View 
2023-04-11T09:50:33.385Z | task.controller.findALLTasksForPipelineID | INFO | Retrieving the task for pipeline ID  
2023-04-11T09:50:33.418Z | configuration.controller.getTaskForm | INFO | retrieving task Form View 
2023-04-11T09:51:25.313Z | testconnection.controller.mysqlConnectionCheck | INFO | connection successfull 
2023-04-11T09:51:30.984Z | connection.controller.update | INFO | connection updated successfully 
2023-04-11T09:51:31.328Z | connection.controller.findallwithdetails | INFO | retrieving the connections list 
2023-04-11T09:51:41.925Z | preview.controller.mysqlPreviewTable | INFO | MySQL preview successfull 
2023-04-14T10:23:18.205Z | auth.controller.login | INFO | login successfull 
2023-04-14T10:23:20.594Z | program.controller.findAll | INFO | retrieving all the program 
2023-04-14T10:23:21.446Z | configuration.controller.getObjectNewForm | INFO | retrieving ObjectForm Form View 
2023-04-14T10:23:21.858Z | configuration.controller.getObjectNewForm | INFO | retrieving ObjectForm Form View 
2023-04-14T10:23:21.866Z | project.controller.findAllById | INFO | retrieving the project by id 
2023-04-14T10:23:23.574Z | configuration.controller.getObjectNewForm | INFO | retrieving ObjectForm Form View 
2023-04-14T10:23:23.578Z | pipeline.controller.findAllById | INFO | retrieving the pipelines by id 
2023-04-14T10:23:27.562Z | configuration.controller.getTaskForm | INFO | retrieving task Form View 
2023-04-14T10:23:27.569Z | task.controller.findALLTasksForPipelineID | INFO | Retrieving the task for pipeline ID  
2023-04-14T10:23:38.885Z | preview.controller.mysqlPreviewTable | INFO | MySQL preview successfull 
2023-04-14T10:24:33.141Z | auth.controller.login | INFO | login successfull 
2023-04-14T10:24:49.818Z | auth.controller.login | INFO | login successfull 
2023-04-14T10:25:16.122Z | pipeline.controller.findAllById | INFO | retrieving the pipelines by id 
2023-04-14T10:25:16.142Z | configuration.controller.getObjectNewForm | INFO | retrieving ObjectForm Form View 
2023-04-14T10:25:17.823Z | program.controller.findAll | INFO | retrieving all the program 
